timestamp, speed, speed_reverse, strength, strength_reverse, binsWithSignal, binsWithSignal_reverse,meanAmplitudeForPedestrians, meanAmplitudeForCars, meanAmplitudeForNoiseLevel, , dynamic_noise_level_100, car_trigger_signal_31
13997, 11.00, 10.75, -96.51, -95.01, 0, 0, -96.58, -107.10, -106.11, -59.03, -106.99
14040, 42.00, 41.00, -96.75, -98.27, 0, 0, -95.94, -107.67, -107.20, -59.51, -106.97
14083, 46.25, 10.25, -97.76, -98.20, 0, 0, -94.12, -107.12, -106.78, -59.98, -106.96
14125, 27.25, 40.50, -96.22, -96.12, 0, 0, -96.41, -108.26, -107.44, -60.45, -106.96
14184, 30.00, 47.50, -97.91, -98.29, 0, 0, -95.55, -107.32, -106.66, -60.92, -106.97
14210, 27.25, 44.75, -96.16, -95.99, 0, 0, -96.48, -105.71, -105.94, -61.37, -106.99
14253, 47.00, 31.50, -97.18, -96.35, 0, 0, -94.51, -106.49, -105.67, -61.81, -107.02
14296, 10.25, 35.00, -99.59, -97.79, 0, 0, -93.62, -107.90, -107.35, -62.27, -107.05
14339, 40.00, 48.25, -95.57, -98.08, 0, 0, -97.16, -107.96, -107.16, -62.71, -107.09
14381, 41.00, 34.00, -98.58, -96.12, 0, 0, -97.67, -107.91, -107.15, -63.16, -107.13
14424, 10.75, 16.00, -97.64, -98.26, 0, 0, -95.91, -108.08, -107.86, -63.61, -107.18
14466, 40.50, 38.00, -98.46, -98.49, 0, 0, -94.16, -107.91, -107.74, -64.05, -107.22
14509, 35.50, 21.50, -98.04, -98.55, 0, 0, -97.39, -108.13, -107.54, -64.48, -107.27
14564, 31.00, 41.00, -96.32, -95.89, 0, 0, -95.62, -107.67, -107.09, -64.91, -107.31
14594, 39.00, 11.50, -97.76, -96.94, 0, 0, -94.70, -105.99, -106.04, -65.32, -107.35
14637, 30.25, 36.50, -98.28, -97.35, 0, 0, -95.03, -106.88, -106.10, -65.73, -107.39
14680, 32.25, 17.00, -97.21, -99.69, 0, 0, -97.58, -107.97, -107.42, -66.14, -107.42
